"노선번호","기점","경유지","종점","기점출발","종점출발","저상운행"
"410","보은","수정⇒금굴1⇒금굴2⇒송죽⇒상가⇒서원⇒원남⇒두능⇒능월⇒화성⇒화동⇒청성","청 산","06:50,09:00,10:00,11:00,12:00, 14:00,15:00,16:00,17:00,18:00, 19:00","07:25,09:45,10:45,11:45,12:45, 14:45,15:45,16:45,17:45,18:45, 19:35","Y"
"420","보은","수정⇒금굴1⇒송죽⇒상가⇒서원⇒원남⇒두능⇒능월⇒화성⇒양촌⇒거포⇒점동","구 음","08:00,13:00","08:00,13:00","N"
"430","보은","수정⇒금굴⇒송죽⇒달산⇒천남⇒내망⇒원남⇒내망⇒천남⇒ 달산⇒송죽⇒선곡2⇒둔덕⇒지산⇒수정","금 굴 천 남","06:55","07:10","N"
"431","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒달산⇒천남⇒내망","지 산 천 남 원 남","09:30,13:30,15:30,19:00","09:50,13:50,15:50,19:20","N"
"432","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒달산⇒천남⇒내망⇒원남⇒서원⇒상가⇒송죽⇒선곡2⇒둔덕⇒지산","천 남 원 남 서 원","11:30","11:50","N"
"433","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒상가⇒서원⇒원남⇒내망⇒천남⇒달산⇒송죽⇒선곡2⇒둔덕⇒지산⇒수정","서 원 원 남 천 남","16:30","16:50","N"
"435","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒상가⇒탄금","상 가 탄 금 원 남","10:30,14:30","10:50,14:50","N"
"910","보은","장신⇒장속⇒용암⇒하초⇒중초⇒상초⇒노티","상 초 노 티","06:50,08:30","07:05,08:45","N"
"911","보은","장신⇒장속⇒용암⇒노티⇒하초⇒중초⇒상초","노 티 상 초","13:20,17:50","13:35,18:05","N"
"920","보은","풍취⇒강신⇒누청⇒안양⇒북실⇒성족","종 곡","07:30,08:40,13:30,17:50","07:40,08:50,13:40,18:00","N"
"930","보은","D마트⇒주공A⇒월송1구⇒어암1구⇒어암2구⇒군청⇒주공A","월 송 어 암","07:30,09:30,13:30,17:30","07:40,09:40,13:40,17:40","N"
"940","보은","이평⇒풍취⇒신함2⇒신함1⇒학림⇒산성⇒강산","신 함 산 성 강 산","09:20,12:00,15:00,17:20","09:30,12:10,15:10,17:30","N"
"950","보은","강산⇒산성1⇒산성2⇒중동⇒강산","산성1 산성2","08:30,12:20,15:20 평일 운행","08:35,12:25,15:25 평일 운행","N"
